duplicate_group,canonical_id,canonical_name,city_labels,records_found,remove_count
c6a0c982-ec7b-4b8a-8b63-f8ed347c0dcb,056404ec-1890-4bbd-aa1c-3e293c80ad92,Duke's Cafe,Horsham | Willow Grove,94,93
0c049dbe-65cc-4005-ae1d-f2bce2ec793e,531bc3a2-b142-4b25-8a58-95ccd5f76333,Shiloh Baptist Church DC,Washington,3,2
16f4ea6a-8398-4c7d-b064-ce013e8e8588,16f4ea6a-8398-4c7d-b064-ce013e8e8588,"Greater Allen A.M.E. Cathedral (Jamaica, Queens)",Jamaica,2,1
34de569d-c58b-42fe-95ce-bb103bd157e4,34de569d-c58b-42fe-95ce-bb103bd157e4,National Center for Civil and Human Rights,Atlanta,2,1
2741dbd9-dacc-4495-8290-e0cf69a8151d,2741dbd9-dacc-4495-8290-e0cf69a8151d,CARECEN — Central American Resource Center,Washington,2,1
3f4fb4d6-f316-423c-aa5e-4d6ec0959adb,3f4fb4d6-f316-423c-aa5e-4d6ec0959adb,People's Community Clinic — Austin,Austin,2,1
5cb738c1-4663-4b0a-a428-0cfaa5b5c093,39fa282e-d634-415a-a782-313f7475a3b2,Simply Wholesome,Los Angeles,2,1
665313ea-4406-433a-a187-ca88a0eceffe,697dfcaf-daf9-46ed-8d62-647c0c9ccd76,Masjid Al-Jamia Philadelphia,Philadelphia,2,1
3bc5cd51-fc8d-411b-bd2f-1f4550869f5b,3ab5ae6d-3c62-4482-b303-f040eb63a7b4,Ethiopian Orthodox Tewahedo Church (NYC),Bronx,2,1
79368b78-162e-4d86-adde-6156f07e42bc,79368b78-162e-4d86-adde-6156f07e42bc,DuSable Black History Museum and Education Center,Chicago,2,1
96a162a9-8a75-46f7-99f7-d0b54bb9d69a,96a162a9-8a75-46f7-99f7-d0b54bb9d69a,APEX Museum (African American Panoramic Experience),Atlanta,2,1
9fe78afa-f490-4e46-81b0-15757e882570,9fe78afa-f490-4e46-81b0-15757e882570,Legacy Museum — Equal Justice Initiative,Montgomery,2,1
9e3d9475-8886-4185-b10e-66d8c3c4b90e,9e3d9475-8886-4185-b10e-66d8c3c4b90e,Harold & Belle's Restaurant,Los Angeles,2,1
a14acf1e-9db8-47a9-bace-f71123088dea,a14acf1e-9db8-47a9-bace-f71123088dea,First Baptist Church Montgomery,Montgomery,2,1
d1001e39-7b1f-446d-9007-0260939c0067,a6e09d44-c4cc-4a55-ac42-0524ad079fea,National Civil Rights Museum at the Lorraine Motel,Memphis,2,1
d20dc8e0-2ac7-42de-a657-1aa0e5576b11,d20dc8e0-2ac7-42de-a657-1aa0e5576b11,National Memorial for Peace and Justice,Montgomery,2,1
d9b40522-5887-4475-b197-d5fc69aaf597,d9b40522-5887-4475-b197-d5fc69aaf597,National Museum of African American History and Culture,Washington,2,1
