category,topic,id
country,Algeria,geo_af_algeria
country,Angola,geo_af_angola
country,Benin,geo_af_benin
country,Botswana,geo_af_botswana
country,Burkina Faso,geo_af_bfaso
country,Burundi,geo_af_burundi
country,Cameroon,4380ee69-5f8c-4a2b-9f6c-5f8660c16076
country,Cameroon,geo_af_cameroon
country,Cape Verde,geo_af_capeverde
country,Central African Republic,geo_af_car
country,Chad,geo_af_chad
country,Comoros,geo_af_comoros
country,Côte d'Ivoire,geo_af_cotediv
country,Democratic Republic of Congo,geo_af_congo_drc
country,Djibouti,geo_af_djibouti
country,Egypt,geo_af_egypt
country,Equatorial Guinea,geo_af_equatguinea
country,Eritrea,geo_af_eritrea
country,Eswatini,geo_af_eswatini
country,Gabon,geo_af_gabon
country,Gambia,geo_af_gambia
country,Guinea,geo_af_guinea
country,Guinea-Bissau,geo_af_guineabiss
country,Laos,d4640021-71b9-49fc-b29f-9d425f71d809
country,Lesotho,geo_af_lesotho
country,Liberia,geo_af_liberia
country,Libya,geo_af_libya
country,Madagascar,geo_af_madagascar
country,Malawi,geo_af_malawi
country,Mali,geo_af_mali
country,Mauritania,geo_af_mauritania
country,Mauritius,geo_af_mauritius
country,Morocco,geo_af_morocco
country,Mozambique,geo_af_mozambique
country,Namibia,geo_af_namibia
country,Niger,geo_af_niger
country,Republic of the Congo,geo_af_congo_brz
country,Rwanda,geo_af_rwanda
country,Senegal,6ccabc4f-4fc4-44b3-bf62-912423998c63
country,Seychelles,geo_af_seychelles
country,Sierra Leone,geo_af_sierraleone
country,Somalia,geo_af_somalia
country,South Sudan,geo_af_southsudan
country,Sudan,geo_af_sudan
country,São Tomé and Príncipe,geo_af_saotome
country,Tanzania,geo_af_tanzania
country,Togo,geo_af_togo
country,Tunisia,geo_af_tunisia
country,Uganda,geo_af_uganda
country,Zambia,geo_af_zambia
country,Zimbabwe,geo_af_zimbabwe
diaspora,African Diaspora History,fbfbc161-5121-4eca-a0a4-c35731b010f6
diaspora,Black & Diaspora Foodways,f64fc179-c304-451d-a966-6f7a25b578cc
diaspora,Cultural Etiquette & Customs,f558119d-60d0-46b3-9827-76dbaa8ec676
diaspora,Cultural Preservation & Oral History,9c597da0-424d-4955-95fa-39764897d66f
diaspora,Festivals & Cultural Celebrations,f84948af-98c1-4e0c-8bbf-b5e92631f11a
diaspora,Genealogy & Family History,feb5c746-c988-45c2-8eb4-f9671a543332
diaspora,Heritage Language Learning,1f60a476-51dc-48e6-b765-b1b48f1ab927
geography,Philadelphia,0388fe7c-11f1-436b-8ab6-f817be0e9f27
travel,2004 Indian Ocean Tsunami — Memory & Lessons,3e479e69-b734-4310-a4bf-26676dfdca9c
travel,"Akrotiri Archaeological Site, Santorini, Greece",5fed9fcc-826e-4bf9-9ac6-c65ee732a4e7
travel,"Amoudi Bay, Santorini, Greece",85081bee-9481-4209-8e04-d71250e74b18
travel,Andaman Sea Ecology & Travel,309721e5-e469-433b-85a1-b55632b44a83
travel,"Ayutthaya Historical Park, Thailand",35bafa52-a5c6-4f7a-a405-0a12d60078f1
travel,"Big Buddha, Phuket",58ceba77-7500-445c-ab5b-75cd2609acec
travel,"Blue Mountains, Jamaica",1f780cd0-87f3-48b5-ba49-4947c4353693
