name,address,city,state,postal_code,country,category,subcategory,services_search_terms,description,website,instagram_url,facebook_url,tiktok_url,source_url,source_name,ownership_designations,ownership_evidence_url,notes
KC Paris Desserts,1365 Fillmore St,San Francisco,CA,94115,US,food,bakery,"French pâtisserie; viennoiserie; desserts",French pâtisserie and viennoiserie business listed by San Francisco's Shop Dine initiative.,https://kcparisdesserts.com/,,,https://www.sf.gov/shop-dine-black-owned-businesses,San Francisco Office of Economic and Workforce Development — Shop Dine Black-Owned Businesses,Black-owned,https://www.sf.gov/shop-dine-black-owned-businesses,Open/current listing; exact SF address verified by city source.
Anthony's Cookies,1417 Valencia St,San Francisco,CA,94110,US,food,bakery,"cookies; baked goods; desserts",Cookie shop listed by San Francisco's Shop Dine initiative.,https://www.anthonyscookies.com/,,,https://www.sf.gov/shop-dine-black-owned-businesses,San Francisco Office of Economic and Workforce Development — Shop Dine Black-Owned Businesses,Black-owned,https://www.sf.gov/shop-dine-black-owned-businesses,Open/current listing; exact SF address verified by city source.
Cupcakin' Bake Shop,7 Warriors Way Unit 200,San Francisco,CA,94158,US,food,bakery,"cupcakes; baked goods; desserts",Bake shop listed by San Francisco's Shop Dine initiative.,https://cupcakinbakeshop.com/,,,https://www.sf.gov/shop-dine-black-owned-businesses,San Francisco Office of Economic and Workforce Development — Shop Dine Black-Owned Businesses,Black-owned,https://www.sf.gov/shop-dine-black-owned-businesses,Open/current listing; exact SF address verified by city source.
Minnie Bell's Soul Movement,1375 Fillmore St,San Francisco,CA,94115,US,food,restaurant,"soul food; Southern cuisine; dine-in",Soul food restaurant listed by San Francisco's Shop Dine initiative.,https://www.minniebellssoul.com/,,,https://www.sf.gov/shop-dine-black-owned-businesses,San Francisco Office of Economic and Workforce Development — Shop Dine Black-Owned Businesses,Black-owned,https://www.sf.gov/shop-dine-black-owned-businesses,Open/current listing; exact SF address verified by city source.
New Eritrea Restaurant,907 Irving St,San Francisco,CA,94122,US,food,restaurant,"Eritrean cuisine; Ethiopian cuisine; dine-in",Eritrean restaurant listed by San Francisco's Shop Dine initiative.,https://neweritrearestaurant.com/index.html,,,https://www.sf.gov/shop-dine-black-owned-businesses,San Francisco Office of Economic and Workforce Development — Shop Dine Black-Owned Businesses,Black-owned,https://www.sf.gov/shop-dine-black-owned-businesses,Open/current listing; exact SF address verified by city source.
Queen's Louisiana Po-Boy Café,33 The Embarcadero Unit 100,San Francisco,CA,94111,US,food,restaurant,"Louisiana po-boys; Cajun food; café",Louisiana po-boy café listed by San Francisco's Shop Dine initiative.,https://queenslapoboyscafe.com/,,,https://www.sf.gov/shop-dine-black-owned-businesses,San Francisco Office of Economic and Workforce Development — Shop Dine Black-Owned Businesses,Black-owned,https://www.sf.gov/shop-dine-black-owned-businesses,Open/current listing; exact SF address verified by city source.
Peaches Patties,2948 Folsom St,San Francisco,CA,94110,US,food,catering,"Caribbean cuisine; patties; catering",Caribbean cuisine and catering business listed by San Francisco's Shop Dine initiative.,https://www.peachespatties.com/,,,https://www.sf.gov/shop-dine-black-owned-businesses,San Francisco Office of Economic and Workforce Development — Shop Dine Black-Owned Businesses,Black-owned,https://www.sf.gov/shop-dine-black-owned-businesses,Open/current listing; exact SF address verified by city source.
Teranga,4 Embarcadero Center Street Level,San Francisco,CA,94111,US,food,restaurant,"Senegalese cuisine; West African food; dine-in",Senegalese cuisine business listed by San Francisco's Shop Dine initiative.,https://www.terangafoods.com/,,,https://www.sf.gov/shop-dine-black-owned-businesses,San Francisco Office of Economic and Workforce Development — Shop Dine Black-Owned Businesses,Black-owned,https://www.sf.gov/shop-dine-black-owned-businesses,Open/current listing; exact SF address verified by city source.
Smoke Soul Kitchen,4618 Third Street,San Francisco,CA,94124,US,food,restaurant,"smoked meats; soul food; barbecue",Soul kitchen listed by San Francisco's Shop Dine initiative.,https://www.smokesoulkitchen.com/,,,https://www.sf.gov/shop-dine-black-owned-businesses,San Francisco Office of Economic and Workforce Development — Shop Dine Black-Owned Businesses,Black-owned,https://www.sf.gov/shop-dine-black-owned-businesses,Open/current listing; exact SF address verified by city source.
Gumbo Social,5176 3rd St,San Francisco,CA,94124,US,food,restaurant,"gumbo; Southern cuisine; seafood",Gumbo restaurant listed by San Francisco's Shop Dine initiative.,https://www.gumbosocial.com/,,,https://www.sf.gov/shop-dine-black-owned-businesses,San Francisco Office of Economic and Workforce Development — Shop Dine Black-Owned Businesses,Black-owned,https://www.sf.gov/shop-dine-black-owned-businesses,Open/current listing; exact SF address verified by city source.
Cafe Ethiopia,878 Valencia St,San Francisco,CA,94110,US,food,restaurant,"Ethiopian cuisine; coffee; dine-in",Ethiopian restaurant listed by San Francisco's Shop Dine initiative.,https://www.sfcafeethiopia.com/,,,https://www.sf.gov/shop-dine-black-owned-businesses,San Francisco Office of Economic and Workforce Development — Shop Dine Black-Owned Businesses,Black-owned,https://www.sf.gov/shop-dine-black-owned-businesses,Open/current listing; exact SF address verified by city source.
Mission Bowling Club,3176 17th St,San Francisco,CA,94110,US,nightlife,entertainment,"bowling; bar bites; social venue",Bowling and bar-bites venue listed by San Francisco's Shop Dine initiative.,https://www.missionbowlingclub.com/,,,https://www.sf.gov/shop-dine-black-owned-businesses,San Francisco Office of Economic and Workforce Development — Shop Dine Black-Owned Businesses,Black-owned,https://www.sf.gov/shop-dine-black-owned-businesses,Open/current listing; exact SF address verified by city source.
Peacekeeper,925 Bush St,San Francisco,CA,94109,US,nightlife,bar,"cocktails; bar; nightlife",Cocktail bar listed by San Francisco's Shop Dine initiative.,https://www.peacekeepersf.com/,,,https://www.sf.gov/shop-dine-black-owned-businesses,San Francisco Office of Economic and Workforce Development — Shop Dine Black-Owned Businesses,Black-owned,https://www.sf.gov/shop-dine-black-owned-businesses,Open/current listing; exact SF address verified by city source.
Sheba Lounge,1419 Fillmore Street,San Francisco,CA,94115,US,nightlife,jazz lounge,"jazz; live music; cocktails; lounge",Jazz lounge listed by San Francisco's Shop Dine initiative.,https://www.shebapianolounge.com/,,,https://www.sf.gov/shop-dine-black-owned-businesses,San Francisco Office of Economic and Workforce Development — Shop Dine Black-Owned Businesses,Black-owned,https://www.sf.gov/shop-dine-black-owned-businesses,Open/current listing; exact SF address verified by city source.
Chicago II Barber Shop,1000 Divisadero St,San Francisco,CA,94115,US,beauty,barber,"haircuts; barbering; grooming",Barber shop listed by San Francisco's Shop Dine initiative.,https://chicago2barbershop.com/,,,https://www.sf.gov/shop-dine-black-owned-businesses,San Francisco Office of Economic and Workforce Development — Shop Dine Black-Owned Businesses,Black-owned,https://www.sf.gov/shop-dine-black-owned-businesses,Open/current listing; exact SF address verified by city source.
L'Elegance Hair Braiding,1260 Fillmore St,San Francisco,CA,94115,US,beauty,braiding,"hair braiding; protective styles; beauty",Hair braiding business listed by San Francisco's Shop Dine initiative.,,,,,https://www.sf.gov/shop-dine-black-owned-businesses,San Francisco Office of Economic and Workforce Development — Shop Dine Black-Owned Businesses,Black-owned,https://www.sf.gov/shop-dine-black-owned-businesses,Open/current listing; exact SF address verified by city source.
U3Fit,4646 3rd Street,San Francisco,CA,94124,US,health,fitness and wellness,"fitness training; workouts; wellness",Fitness and wellness business listed by San Francisco's Shop Dine initiative.,https://www.u3fit.com/,,,https://www.sf.gov/shop-dine-black-owned-businesses,San Francisco Office of Economic and Workforce Development — Shop Dine Black-Owned Businesses,Black-owned,https://www.sf.gov/shop-dine-black-owned-businesses,Non-clinical fitness/wellness; no regulated medical service inferred.
McMullen,3687 Sacramento St,San Francisco,CA,94118,US,retail,fashion,"women's luxury retail; clothing; accessories",Women's luxury retail business listed by San Francisco's Shop Dine initiative.,https://shopmcmullen.com/,,,https://www.sf.gov/shop-dine-black-owned-businesses,San Francisco Office of Economic and Workforce Development — Shop Dine Black-Owned Businesses,Black-owned,https://www.sf.gov/shop-dine-black-owned-businesses,Open/current SF address verified by city source.
Cowrie Collective,645 Market St,San Francisco,CA,94104,US,retail,gifts and lifestyle,"gifts; lifestyle goods; local retail",Retail business listed by San Francisco's Shop Dine initiative.,https://cowriecosf.com/,,,https://www.sf.gov/shop-dine-black-owned-businesses,San Francisco Office of Economic and Workforce Development — Shop Dine Black-Owned Businesses,Black-owned,https://www.sf.gov/shop-dine-black-owned-businesses,Open/current listing; exact SF address verified by city source.
In the Black,1567 Fillmore St,San Francisco,CA,94115,US,retail,marketplace,"Black-led marketplace; gifts; apparel; local makers",Black-led marketplace listed by San Francisco's Shop Dine initiative.,https://intheblackshop.com/,,,https://www.sf.gov/shop-dine-black-owned-businesses,San Francisco Office of Economic and Workforce Development — Shop Dine Black-Owned Businesses,Black-led,https://www.sf.gov/shop-dine-black-owned-businesses,Ownership/leadership designation is explicit in official city source.
AOCA - Art of Contemporary Africa,1275 Minnesota St,San Francisco,CA,94107,US,retail,art gallery,"African contemporary art; exhibitions; gallery",Contemporary African art gallery listed by San Francisco's Shop Dine initiative.,https://aocaart.com/,,,https://www.sf.gov/shop-dine-black-owned-businesses,San Francisco Office of Economic and Workforce Development — Shop Dine Black-Owned Businesses,Black-owned,https://www.sf.gov/shop-dine-black-owned-businesses,Open/current listing; exact SF address verified by city source.
Museum of the African Diaspora,685 Mission St,San Francisco,CA,94105,US,retail,museum and culture,"African Diaspora art; exhibitions; cultural programs",Museum and cultural institution listed by San Francisco's Shop Dine initiative.,https://www.moadsf.org/,,,https://www.sf.gov/shop-dine-black-owned-businesses,San Francisco Office of Economic and Workforce Development — Shop Dine Black-Owned Businesses,Black-owned,https://www.sf.gov/shop-dine-black-owned-businesses,Community cultural institution; exact SF address verified by city source.
Legal Services for Children,870 Market Street Suite 356,San Francisco,CA,94102,US,law,children's legal services,"foster care advocacy; guardianship; immigration; education rights; legal aid",Nonprofit legal organization defending the rights of children and youth in crisis and providing legal and social-work services.,https://lsc-sf.org/,https://www.instagram.com/lsc.sf/,https://www.facebook.com/legalservicesforchildren/,,https://lsc-sf.org/,Legal Services for Children — official website,Nonprofit,https://lsc-sf.org/,Address, programs, and services verified on official website; not a private law firm.
San Francisco Travel,One Post Street Suite 2700,San Francisco,CA,94104,US,travel,visitor information,"visitor information; trip planning; attractions; events; neighborhoods",Official San Francisco visitor-information organization providing trip planning, local guides, events, and attraction information.,https://www.sftravel.com/,https://www.instagram.com/onlyinsf/,https://www.facebook.com/onlyinSF/,https://www.tiktok.com/@onlyinsf,https://www.sftravel.com/,San Francisco Travel — official visitor information,Not stated,,Official site lists SF Business Office address and visitor services; organization rather than a typical local storefront.
