name,address,city,state,postal_code,country,category,subcategory,services_search_terms,description,website,instagram_url,facebook_url,tiktok_url,source_url,source_name,ownership_designations,ownership_evidence_url,notes,normalized_category,target_kind,review_status,review_gates,dedupe_key,source_file
Diamond Lux Haircare,"201 Beacon Parkway West, Suite 113",Birmingham,AL,35209,USA,beauty,braids and hair care,tree braids; hair care; braiding; book online; hairdresser tools,Birmingham hair-care and braid salon with online booking and a retail hairdresser-tools shop.,https://www.dluxhaircare.com/,https://www.instagram.com/braidsbylisatreebraids/,,,https://www.dluxhaircare.com/contact,Diamond Lux Haircare,,,Official contact page gives Birmingham address and Instagram.,Beauty & Personal Care,business,pending_review,geocode_before_public_pin;source_url_and_address_manual_confirmation_required,diamond lux haircare|201 beacon parkway west suite 113|birmingham|al,17.csv
Tracy's Treasure Daycare,1745 Pearson Ave.,Birmingham,AL,35211,USA,childcare,daycare and after-school care,infant care; toddler programs; early childhood education; after-school care; pickup; childcare subsidy,"DHR-licensed childcare provider enrolling ages 6 weeks to 12 years, with daycare, after-school care and pickup service.",https://www.tracysdaycare.com/,https://www.instagram.com/tracystreasuredaycare1/,https://www.facebook.com/tracystreasuredaycare,,https://www.tracysdaycare.com/,Tracy's Treasure Daycare,,,Official site states DHR licensing and gives West Birmingham address.,Children & Family,regulated_review,needs_research,geocode_before_public_pin;regulated_or_age_governed_service_review_required;source_url_and_address_manual_confirmation_required,tracy s treasure daycare|1745 pearson ave|birmingham|al,17.csv
Warren Averett,2500 Acton Road #200,Birmingham,AL,35243,USA,finance,accounting and advisory,audit; tax; accounting; advisory; valuation; CFO support; financial compliance,"Birmingham accounting and advisory office serving local businesses with audit, tax, accounting, corporate advisory and outsourced CFO services.",https://warrenaverett.com/offices/birmingham/,,,,https://warrenaverett.com/offices/birmingham/,Warren Averett,organized under two separately owned Alabama limited liability companies,https://warrenaverett.com/offices/birmingham/,Ownership wording is quoted from the official Birmingham office page; not an identity inference.,Financial & Business Services,regulated_review,needs_research,geocode_before_public_pin;ownership_evidence_manual_confirmation_required;regulated_or_age_governed_service_review_required;source_url_and_address_manual_confirmation_required,warren averett|2500 acton road 200|birmingham|al,17.csv
Eagle's Restaurant,2610 16th Street North,Birmingham,AL,35204,USA,food,soul food,soul food; farm-fresh vegetables; meats; dine-in; pickup,Family-owned Birmingham soul food restaurant operating since 1951; serves meats and vegetables for walk-in or online pickup.,https://eaglesrestaurant.com/,https://www.instagram.com/eaglesrestaurant/,https://www.facebook.com/eagles2610/,,https://eaglesrestaurant.com/location,Eagle's Restaurant,family-owned,https://eaglesrestaurant.com/,Official site states family-owned; location page gives exact address.,Food & Drink,business,needs_research,geocode_before_public_pin;ownership_evidence_manual_confirmation_required;source_url_and_address_manual_confirmation_required,eagle s restaurant|2610 16th street north|birmingham|al,17.csv
Tin Roof Birmingham,2709 7th Avenue S.,Birmingham,AL,35233,USA,nightlife,live music bar and restaurant,live music; DJs; bar; food; private parties; happy hour; game day,"Live-music bar and restaurant in Birmingham's Lakeview District with bands, DJs, food, drinks, private parties and late-night programming.",https://tinroofbirmingham.com/,,,,https://tinroofbirmingham.com/,Tin Roof Birmingham,,,"Official site lists address, hours, food, live music and events.",Food & Drink,business,pending_review,geocode_before_public_pin;source_url_and_address_manual_confirmation_required,tin roof birmingham|2709 7th avenue s|birmingham|al,17.csv
Christ Health,5720 First Avenue South,Birmingham,AL,35212,USA,health,community health center,pediatric medical; adult medical; dental; pharmacy; mental health; spiritual health,"Community healthcare ministry providing affordable medical, dental, pharmacy, mental-health and spiritual-health services, including care for patients with limited or no insurance.",https://christhealthcenter.org/,https://www.instagram.com/christhealthcenter/,https://www.facebook.com/ChristHealth,,https://christhealthcenter.org/,Christ Health,,,"Official site lists services, Birmingham address and patient access details.",Health & Wellness,regulated_review,needs_research,geocode_before_public_pin;regulated_or_age_governed_service_review_required;source_url_and_address_manual_confirmation_required,christ health|5720 first avenue south|birmingham|al,17.csv
Hardy Services,3801 2nd Avenue South,Birmingham,AL,35222,USA,home trades,HVAC and plumbing,heating and air conditioning; plumbing; controls; emergency plumbing; back-flow inspection,"Birmingham mechanical-services company offering HVAC, plumbing, controls and 24/7/365 plumbing emergency response.",https://hardyserv.com/,,,,https://hardyserv.com/,Hardy Services,,,Official site gives exact Birmingham address and service categories.,Home & Property Services,regulated_review,needs_research,geocode_before_public_pin;regulated_or_age_governed_service_review_required;source_url_and_address_manual_confirmation_required,hardy services|3801 2nd avenue south|birmingham|al,17.csv
Maxwell Tillman + Coleman,"1820 3rd Avenue North, STE 300",Birmingham,AL,35203,USA,law,trial and civil rights law,personal injury; civil rights; criminal defense; family law; civil litigation; employment matters,"Birmingham-based trial firm representing Alabama clients in personal injury, civil rights, criminal defense, family law and civil litigation matters.",https://www.mxlawfirm.com/,https://www.instagram.com/maxwellfirm,https://www.facebook.com/AlabamaRights,,https://www.mxlawfirm.com/,Maxwell Tillman + Coleman,,,Official site provides Birmingham office address and practice areas.,Legal & Government Services,regulated_review,needs_research,geocode_before_public_pin;regulated_or_age_governed_service_review_required;source_url_and_address_manual_confirmation_required,maxwell tillman coleman|1820 3rd avenue north ste 300|birmingham|al,17.csv
Alabama Booksmith,2626 19th Place South,Birmingham,AL,35209,USA,retail,independent bookstore,signed books; first editions; personalized copies; gift cards; book events,"Birmingham bookstore specializing in signed copies, first editions, personalized books and gift cards.",https://www.alabamabooksmith.com/,https://www.instagram.com/alabamabooksmith/,https://www.facebook.com/AlabamaBooksmith/,,https://www.alabamabooksmith.com/,The Alabama Booksmith,,,"Official website lists address, signed-book inventory and social links.",Shopping & Retail,business,pending_review,geocode_before_public_pin;source_url_and_address_manual_confirmation_required,alabama booksmith|2626 19th place south|birmingham|al,17.csv
The Summit,214 Summit Boulevard,Birmingham,AL,35243,USA,retail,shopping center,shopping; retail directory; store offers; events; gift and fashion shopping,"Birmingham shopping center with a store directory, retail offers, events and regular shopping hours.",https://thesummitbirmingham.com/,https://www.instagram.com/thesummitbirmingham/?hl=en,https://www.facebook.com/thesummitbham,,https://thesummitbirmingham.com/,The Summit,,,"Official site lists exact Birmingham address, directory and social links.",Shopping & Retail,business,pending_review,geocode_before_public_pin;source_url_and_address_manual_confirmation_required,the summit|214 summit boulevard|birmingham|al,17.csv
