name,address,city,state,postal_code,country,category,subcategory,services_search_terms,description,website,phone,instagram_url,facebook_url,tiktok_url,source_url,source_name,ownership_designations,ownership_evidence_url,regulated_profession,notes
#JUICEBAE,6208 W 87th Street,Los Angeles,CA,,USA,Food,Juice bar,juice smoothies beverages,Juice and beverage business listed in Black Owned Los Angeles directory.,https://blackownedlosangeles.com/,https://blackownedlosangeles.com/directory/all,,,,https://blackownedlosangeles.com/directory/all,Black Owned Los Angeles,Black-owned,https://blackownedlosangeles.com/,false,Current public directory listing and public destination confirmed; street address is directory-sourced.
430 Productions,1340 E 6th Street,Los Angeles,CA,,USA,Culture,Production services,film video production events,Production business listed under Arts & Culture and Professional Services.,https://blackownedlosangeles.com/,https://blackownedlosangeles.com/directory/all,,,,https://blackownedlosangeles.com/directory/all,Black Owned Los Angeles,Black-owned,https://blackownedlosangeles.com/,false,Current public directory listing and public destination confirmed; street address is directory-sourced.
Anjahles Jamaican X LA Fusion,5353 Crenshaw Blvd,Los Angeles,CA,,USA,Food,Restaurant,Jamaican fusion food catering dining,Jamaican and Los Angeles fusion food business.,https://blackownedlosangeles.com/,https://blackownedlosangeles.com/directory/all,,,,https://blackownedlosangeles.com/directory/all,Black Owned Los Angeles,Black-owned,https://blackownedlosangeles.com/,false,Current public directory listing and public destination confirmed; street address is directory-sourced.
Band of Vices,5376 W Adams Blvd,Los Angeles,CA,,USA,Culture,Art gallery,art gallery exhibitions contemporary art,Art gallery listed under Arts & Culture.,https://blackownedlosangeles.com/,https://blackownedlosangeles.com/directory/all,,,,https://blackownedlosangeles.com/directory/all,Black Owned Los Angeles,Black-owned,https://blackownedlosangeles.com/,false,Current public directory listing and public destination confirmed; street address is directory-sourced.
Boketto Cold Brews LLC,743 S Broadway,Los Angeles,CA,,USA,Food,Coffee shop,cold brew coffee beverages,Cold-brew coffee business listed in directory.,https://blackownedlosangeles.com/,https://blackownedlosangeles.com/directory/all,,,,https://blackownedlosangeles.com/directory/all,Black Owned Los Angeles,Black-owned,https://blackownedlosangeles.com/,false,Current public directory listing and public destination confirmed; street address is directory-sourced.
BOSS Digital Marketing LLC,1902 W 91st Place,Los Angeles,CA,,USA,Professional services,Marketing agency,digital marketing branding advertising,Digital marketing business.,https://blackownedlosangeles.com/,https://blackownedlosangeles.com/directory/all,,,,https://blackownedlosangeles.com/directory/all,Black Owned Los Angeles,Black-owned,https://blackownedlosangeles.com/,false,Current public directory listing and public destination confirmed; street address is directory-sourced.
Botanical Seven,4321 Leimert Blvd,Los Angeles,CA,,USA,Beauty,Beauty and wellness,botanical skincare wellness beauty products,Botanical beauty and wellness business.,https://blackownedlosangeles.com/,https://blackownedlosangeles.com/directory/all,,,,https://blackownedlosangeles.com/directory/all,Black Owned Los Angeles,Black-owned,https://blackownedlosangeles.com/,false,Current public directory listing and public destination confirmed; street address is directory-sourced.
Britt Brow,922 S Central Ave,Los Angeles,CA,,USA,Beauty,Brow services,brows eyebrow shaping beauty,Brow service business.,https://blackownedlosangeles.com/,https://blackownedlosangeles.com/directory/all,,,,https://blackownedlosangeles.com/directory/all,Black Owned Los Angeles,Black-owned,https://blackownedlosangeles.com/,false,Current public directory listing and public destination confirmed; street address is directory-sourced.
Cultural Interiors,4421 W Slauson Blvd,Los Angeles,CA,,USA,Home,Interior design,interior design home decor furnishings,Interior design and home goods business.,https://blackownedlosangeles.com/,https://blackownedlosangeles.com/directory/all,,,,https://blackownedlosangeles.com/directory/all,Black Owned Los Angeles,Black-owned,https://blackownedlosangeles.com/,true,Current public directory listing and public destination confirmed; street address is directory-sourced.
"Dr. LaWanda Hill, LLC",1242 S Olive Street,Los Angeles,CA,,USA,Health,Mental health services,mental health counseling therapy psychology,Health-care provider listed under Healthcare.,https://blackownedlosangeles.com/,https://blackownedlosangeles.com/directory/all,,,,https://blackownedlosangeles.com/directory/all,Black Owned Los Angeles,Black-owned,https://blackownedlosangeles.com/,true,Current public directory listing and public destination confirmed; street address is directory-sourced.
GBCJ Signs & Graphics,10907 W Magnolia Blvd,Los Angeles,CA,,USA,Professional services,Sign shop,signs graphics printing branding,Signs and graphics business.,https://blackownedlosangeles.com/,https://blackownedlosangeles.com/directory/all,,,,https://blackownedlosangeles.com/directory/all,Black Owned Los Angeles,Black-owned,https://blackownedlosangeles.com/,true,Current public directory listing and public destination confirmed; street address is directory-sourced.
Glow + Flow Beauty Supply,933 N LaBrea Ave,Los Angeles,CA,,USA,Beauty,Beauty supply,beauty supply hair care cosmetics,Beauty supply store.,https://blackownedlosangeles.com/,https://blackownedlosangeles.com/directory/all,,,,https://blackownedlosangeles.com/directory/all,Black Owned Los Angeles,Black-owned,https://blackownedlosangeles.com/,false,Current public directory listing and public destination confirmed; street address is directory-sourced.
LaMay Day Media LLC,958 N Western Avenue,Los Angeles,CA,,USA,Culture,Media production,media production photography video,Media and arts business.,https://blackownedlosangeles.com/,https://blackownedlosangeles.com/directory/all,,,,https://blackownedlosangeles.com/directory/all,Black Owned Los Angeles,Black-owned,https://blackownedlosangeles.com/,false,Current public directory listing and public destination confirmed; street address is directory-sourced.
Mwokaji Cakery,201 N Los Angeles Street,Los Angeles,CA,,USA,Food,Bakery,cakes pastries desserts bakery,Cakery listed under Food & Drink.,https://blackownedlosangeles.com/,https://blackownedlosangeles.com/directory/all,,,,https://blackownedlosangeles.com/directory/all,Black Owned Los Angeles,Black-owned,https://blackownedlosangeles.com/,false,Current public directory listing and public destination confirmed; street address is directory-sourced.
My Fish Stop,14843 Burbank Blvd,Los Angeles,CA,,USA,Food,Seafood restaurant,seafood fish restaurant takeout,Fish restaurant listed under Food & Drink.,https://blackownedlosangeles.com/,https://blackownedlosangeles.com/directory/all,,,,https://blackownedlosangeles.com/directory/all,Black Owned Los Angeles,Black-owned,https://blackownedlosangeles.com/,false,Current public directory listing and public destination confirmed; street address is directory-sourced.
Old School Skinny,6460 Mammoth Ave,Los Angeles,CA,,USA,Culture,Arts and culture,arts culture creative services,Arts and culture business listed in directory.,https://blackownedlosangeles.com/,,,,https://blackownedlosangeles.com/directory/all,https://blackownedlosangeles.com/directory/all,Black Owned Los Angeles,Black-owned,https://blackownedlosangeles.com/,false,Current public directory listing and public destination confirmed; street address is directory-sourced.
SOUL 2 SOUL GLOBAL,1055 W 7th Street,Los Angeles,CA,,USA,Wellness,Wellness services,wellness beauty fitness professional services,Wellness and professional services business.,https://blackownedlosangeles.com/,,,,https://blackownedlosangeles.com/directory/all,https://blackownedlosangeles.com/directory/all,Black Owned Los Angeles,Black-owned,https://blackownedlosangeles.com/,false,Current public directory listing and public destination confirmed; street address is directory-sourced.
