name,address,city,state,postal_code,country,category,subcategory,services_search_terms,description,website,phone,instagram_url,facebook_url,tiktok_url,source_url,source_name,ownership_designations,ownership_evidence_url,regulated_profession,notes
DuSable Black History Museum and Education Center,740 E 56th Pl,Chicago,IL,60637,USA,culture,museum,African American history museum exhibits events,African American history museum and education center,https://dusablemuseum.org/,,,,,https://dusablemuseum.org/,Official organization website,,,false,Address and services based on cited public source; current official destination confirmed.
South Side Community Art Center,3831 S Michigan Ave,Chicago,IL,60653,USA,culture,art center,African American art exhibitions classes events,Historic African American art center with exhibitions and programs,https://sscartcenter.org/,,,,,https://sscartcenter.org/,Official organization website,,,false,Address and services based on cited public source; current official destination confirmed.
Black Arts & Culture Alliance of Chicago,7731 S South Shore Dr,Chicago,IL,60649,USA,faith_community,arts alliance,Black performing arts events culture directory,Guide and alliance for Black performing arts and culture,https://www.bacachi.org/,,,,,https://www.bacachi.org/,Official organization website,,,false,Address and services based on cited public source; current official destination confirmed.
Chicago Urban League,4510 S Michigan Ave,Chicago,IL,60653,USA,faith_community,community services,jobs housing education entrepreneurship support,"Civil-rights and workforce, housing, education and business support organization",https://chiul.org/,,,,,https://chiul.org/,Official organization website,,,false,Address and services based on cited public source; current official destination confirmed.
Apostolic Church of God,6320 S Dorchester Ave,Chicago,IL,60637,USA,faith_community,church,worship ministries food pantry community,Chicago church with worship and community ministries,https://acog-chicago.org/,,,,,https://acog-chicago.org/,Official organization website,,,false,Address and services based on cited public source; current official destination confirmed.
First Church of Deliverance,4315 S Wabash Ave,Chicago,IL,60653,USA,faith_community,church,worship prayer community,Historic Chicago church and community congregation,https://www.firstchurchofdeliverance.org/,,,,,https://www.firstchurchofdeliverance.org/,Official organization website,,,false,Address and services based on cited public source; current official destination confirmed.
St. Sabina Church,1210 W 78th Pl,Chicago,IL,60620,USA,faith_community,church,worship youth social justice community,Catholic parish with youth and community programs,https://www.saintsabina.org/,,,,,https://www.saintsabina.org/,Official organization website,,,false,Address and services based on cited public source; current official destination confirmed.
St. James AME Church,444 N Waller Ave,Chicago,IL,60644,USA,faith_community,church,worship ministries community,African Methodist Episcopal congregation,https://www.stjamesamec.org/,,,,,https://www.stjamesamec.org/,Official organization website,,,false,Address and services based on cited public source; current official destination confirmed.
National Museum of Puerto Rican Arts & Culture,3015 W Division St,Chicago,IL,60622,USA,culture,museum,Puerto Rican art culture exhibitions events,Museum dedicated to Puerto Rican arts and culture,https://nmprac.org/,,,,,https://nmprac.org/,Official organization website,,,false,Address and services based on cited public source; current official destination confirmed.
Instituto Cervantes Chicago,31 W Ohio St,Chicago,IL,60654,USA,culture,cultural center,Spanish language classes culture events,Spanish language and cultural center,https://cervantes.org/us/chicago/,,,,,https://cervantes.org/us/chicago/,Official organization website,,,false,Address and services based on cited public source; current official destination confirmed.
International Latino Cultural Center of Chicago,2539 N Kedzie Blvd,Chicago,IL,60647,USA,culture,film organization,Latino film festival arts culture,Latino cultural and film organization,https://latinoculturalcenter.org/,,,,,https://latinoculturalcenter.org/,Official organization website,,,false,Address and services based on cited public source; current official destination confirmed.
UIC Black Cultural Center,830 S Halsted St,Chicago,IL,60607,USA,faith_community,cultural center,Black diaspora community events student support,University cultural center building community and celebrating diaspora,https://blacc.uic.edu/,,,,,https://blacc.uic.edu/,Official organization website,,,false,Address and services based on cited public source; current official destination confirmed.
Hyde Park Art Center,5020 S Cornell Ave,Chicago,IL,60615,USA,culture,art center,art classes exhibitions community arts,Community visual arts center,https://www.hydeparkart.org/,,,,,https://www.hydeparkart.org/,Official organization website,,,false,Address and services based on cited public source; current official destination confirmed.
Old Town School of Folk Music,909 W Armitage Ave,Chicago,IL,60614,USA,recreation,music school,music lessons concerts classes,Music school and concert venue,https://www.oldtownschool.org/,,,,,https://www.oldtownschool.org/,Official organization website,,,false,Address and services based on cited public source; current official destination confirmed.
Chicago Public Library – Woodson Regional,9525 S Halsted St,Chicago,IL,60628,USA,faith_community,library,library books computers events,Public library branch serving the South Side,https://www.chicagopubliclibrary.org/locations/woodson-regional,,,,,https://www.chicagopubliclibrary.org/locations/woodson-regional,Official organization website,,,false,Address and services based on cited public source; current official destination confirmed.
Chicago Public Library – Carter G. Woodson,9525 S Halsted St,Chicago,IL,60628,USA,faith_community,library,library research African American collection,Library branch with African American history resources,https://www.chicagopubliclibrary.org/locations/woodson-regional,,,,,https://www.chicagopubliclibrary.org/locations/woodson-regional,Official organization website,,,false,Address and services based on cited public source; current official destination confirmed.
Peaches Restaurant,47 E 47th St,Chicago,IL,60653,USA,food,restaurant,soul food breakfast lunch dinner,South Side restaurant serving soul food,https://www.peachesrestaurantchicago.com/,,,,,https://www.peachesrestaurantchicago.com/,Official organization website,,,false,Address and services based on cited public source; current official destination confirmed.
Pearl’s Place,3901 S Michigan Ave,Chicago,IL,60653,USA,food,restaurant,soul food cafeteria breakfast lunch,Soul food restaurant and community gathering place,https://www.pearlsplaceres.com/,,,,,https://www.pearlsplaceres.com/,Official organization website,,,false,Address and services based on cited public source; current official destination confirmed.
