name,address,city,state,postal_code,country,category,subcategory,services_search_terms,description,website,phone,instagram_url,facebook_url,tiktok_url,source_url,source_name,ownership_designations,ownership_evidence_url,regulated_profession,notes
Lolo’s Chicken & Waffles HTX,3611 Gulf Fwy,Houston,Texas,77003,USA,Food,Soul food restaurant,chicken waffles; soul food; breakfast,Soul food restaurant serving chicken and waffles.,http://www.loloschickenandwaffleshtx.com/,,https://www.instagram.com/loloschickenandwaffleshtx/,https://www.facebook.com/profile.php?id=61582904121274,,https://blackrestaurantweeks.com/houston-black-restaurant-week/,Black Restaurant Week Houston,,,false,"Black Restaurant Week Houston directory lists the active location, category, hours and public destination; current destination confirmed on source page."
Day & Night Cafe,5101 Almeda Rd,Houston,Texas,77004,USA,Food,Southern cafe,Southern food; cafe; all-day dining,Southern cafe listed as open 24 hours.,https://dayandnightalmeda.com/,,https://www.instagram.com/dayandnightalmeda,,,https://blackrestaurantweeks.com/houston-black-restaurant-week/,Black Restaurant Week Houston,,,false,"Black Restaurant Week Houston directory lists the active location, category, hours and public destination; current destination confirmed on source page."
Davis Street at Hermann Park,5925 Almeda Rd,Houston,Texas,77004,USA,Food,Seafood restaurant,seafood; dinner; brunch,Seafood restaurant with dinner and brunch hours.,https://www.davisstreet.com,,https://www.instagram.com/davissthouston,https://www.facebook.com/davisstathermannpark/,,https://blackrestaurantweeks.com/houston-black-restaurant-week/,Black Restaurant Week Houston,,,false,"Black Restaurant Week Houston directory lists the active location, category, hours and public destination; current destination confirmed on source page."
Caribbean Jerk Palace HTX,3803 Emancipation Ave,Houston,Texas,77004,USA,Food,Caribbean restaurant,Caribbean food; jerk cuisine,Caribbean restaurant serving jerk cuisine.,https://caribbeanjerkpalacetx.com/,,https://www.instagram.com/cjphtx/?hl=en,https://www.facebook.com/CaribbeanJerkPalaceTX,,https://blackrestaurantweeks.com/houston-black-restaurant-week/,Black Restaurant Week Houston,,,false,"Black Restaurant Week Houston directory lists the active location, category, hours and public destination; current destination confirmed on source page."
Dandelion Cafe – Heights,611 W 22nd St,Houston,Texas,77008,USA,Food,Southern cafe,Southern food; breakfast; cafe,Southern cafe in the Heights.,http://dandelionhouston.com/,,https://www.instagram.com/dandelionhouston/,https://www.facebook.com/dandelionhouston,,https://blackrestaurantweeks.com/houston-black-restaurant-week/,Black Restaurant Week Houston,,,false,"Black Restaurant Week Houston directory lists the active location, category, hours and public destination; current destination confirmed on source page."
Esther’s Cajun Cafe & Soul Food,5007 N Shepherd Dr,Houston,Texas,77018,USA,Food,Creole and Cajun restaurant,Cajun; Creole; soul food,"Creole, Cajun and soul food restaurant.",https://www.estherscajunsoul.com/,,https://www.instagram.com/estherscajuncafe/,https://facebook.com/EsthersCajunCafe/,,https://blackrestaurantweeks.com/houston-black-restaurant-week/,Black Restaurant Week Houston,,,false,"Black Restaurant Week Houston directory lists the active location, category, hours and public destination; current destination confirmed on source page."
The Greasy Spoon Soulfood Bistro,636 Cypress Station Dr,Houston,Texas,77090,USA,Food,Southern restaurant,soul food; Southern cuisine; bistro,Southern soul food bistro.,http://thegreasyspoonhtx.com,,https://www.instagram.com/TheGreasySpoonHTX,https://www.facebook.com/TheGreasySpoonSoulfoodBistro/,,https://blackrestaurantweeks.com/houston-black-restaurant-week/,Black Restaurant Week Houston,,,false,"Black Restaurant Week Houston directory lists the active location, category, hours and public destination; current destination confirmed on source page."
Jamaica Pon Di Road,2213 S Victory Dr,Houston,Texas,77088,USA,Food,Caribbean restaurant,Jamaican food; Caribbean cuisine,Caribbean restaurant serving Jamaican food.,https://www.jamaicapondiroad.com/,,https://www.instagram.com/jamaicapondiroad/,https://www.facebook.com/JamaicaPonDiRoad,,https://blackrestaurantweeks.com/houston-black-restaurant-week/,Black Restaurant Week Houston,,,false,"Black Restaurant Week Houston directory lists the active location, category, hours and public destination; current destination confirmed on source page."
Rhay’s Restaurant,11920 Westheimer Rd,Houston,Texas,77077,USA,Food,African restaurant,African cuisine; dinner,African restaurant.,,,https://www.instagram.com/rhaysrestaurant,https://www.facebook.com/rhaysrestaurant,,https://blackrestaurantweeks.com/houston-black-restaurant-week/,Black Restaurant Week Houston,,,false,"Black Restaurant Week Houston directory lists the active location, category, hours and public destination; current destination confirmed on source page."
Winsome Prime,5888 Westheimer Rd,Houston,Texas,77057,USA,Food,American restaurant,American cuisine; dinner; brunch,American restaurant with dinner and brunch hours.,https://www.winsomeprime.com/houston,,https://www.instagram.com/winsomeprime/,,,https://blackrestaurantweeks.com/houston-black-restaurant-week/,Black Restaurant Week Houston,,,false,"Black Restaurant Week Houston directory lists the active location, category, hours and public destination; current destination confirmed on source page."
Moca HTX Restaurant & Lounge,4212 Almeda Rd,Houston,Texas,77004,USA,Nightlife,Restaurant and lounge,restaurant; lounge; cocktails; nightlife,Restaurant and lounge with evening and late-night hours.,https://mocahtx.com/moca-restaurant/,,https://www.instagram.com/mocahtx/,,,https://blackrestaurantweeks.com/houston-black-restaurant-week/,Black Restaurant Week Houston,,,false,"Black Restaurant Week Houston directory lists the active location, category, hours and public destination; current destination confirmed on source page."
Guzel Cakes,7613 Katy Fwy Suite D,Houston,Texas,,USA,Food,Bakery and dessert,cakes; bakery; desserts,Bakery and dessert business.,http://www.gcakelovers.com,,,,,https://blackrestaurantweeks.com/houston-black-restaurant-week/,Black Restaurant Week Houston,,,false,"Black Restaurant Week Houston directory lists the active location, category, hours and public destination; current destination confirmed on source page."
Buried Seeds Wine Bar,1133 Providence St,Houston,Texas,77020,USA,Nightlife,Wine bar,wine bar; drinks; nightlife,Wine bar with evening and late-night hours.,,,https://www.instagram.com/buried.seeds/,,,https://blackrestaurantweeks.com/houston-black-restaurant-week/,Black Restaurant Week Houston,,,false,"Black Restaurant Week Houston directory lists the active location, category, hours and public destination; current destination confirmed on source page."
Ador Almeda,4830 Almeda Rd,Houston,Texas,77004,USA,Nightlife,Restaurant and lounge,restaurant; late-night dining; lounge,American restaurant/lounge with late-night hours.,https://adoralmeda.com/,,https://www.instagram.com/adoralmeda/,,,https://blackrestaurantweeks.com/houston-black-restaurant-week/,Black Restaurant Week Houston,,,false,"Black Restaurant Week Houston directory lists the active location, category, hours and public destination; current destination confirmed on source page."
Juliet,5857 Westheimer Rd Ste P,Houston,Texas,,USA,Nightlife,American restaurant,American cuisine; dinner; late-night dining,American restaurant with evening service.,https://www.juliethtx.com/,,https://www.instagram.com/juliet.htx/,https://www.facebook.com/JulietRestaurant/,,https://blackrestaurantweeks.com/houston-black-restaurant-week/,Black Restaurant Week Houston,,,false,"Black Restaurant Week Houston directory lists the active location, category, hours and public destination; current destination confirmed on source page."
The Breakfast Klub,3711 Travis St,Houston,Texas,77002,USA,Food,Soul food restaurant,soul food; breakfast; chicken and waffles,Soul food restaurant known for breakfast and chicken-and-waffles dishes.,https://www.visithoustontexas.com/listings/the-breakfast-klub/19785/,,https://www.instagram.com/p/CHntUIggsvz/?utm_source=ig_embed&utm_campaign=loading,,,https://www.visithoustontexas.com/blog/post/supporting-black-owned-business-in-houston/,Visit Houston,Black-owned,https://www.visithoustontexas.com/blog/post/supporting-black-owned-business-in-houston/,false,Visit Houston article explicitly presents this as a Black-owned Houston business and provides the public address; attributable social/listing destination confirmed on source page.
Lucille's,5512 La Branch St,Houston,Texas,77004,USA,Food,Southern restaurant,Southern food; restaurant,Southern restaurant continuing a family culinary tradition.,,,https://www.instagram.com/p/B7MCbbDp2uL2/?utm_source=ig_embed&utm_campaign=loading,,,https://www.visithoustontexas.com/blog/post/supporting-black-owned-business-in-houston/,Visit Houston,Black-owned,https://www.visithoustontexas.com/blog/post/supporting-black-owned-business-in-houston/,false,Visit Houston article explicitly presents this as a Black-owned Houston business and provides the public address; attributable social post destination confirmed on source page.
Twisted Grilled Cheese,2829 Chimney Rock Rd,Houston,Texas,77056,USA,Food,Food truck and sandwich shop,grilled cheese; sandwiches; vegan sandwich,"Food truck serving gourmet grilled-cheese sandwiches, including vegan options.",http://www.twistedgrilledcheese.com/?gclid=CjwKCAjw2uf2BRBpEiwA31VZj7yIcCxOoNnfEuS9vHJsLeenrqMnXpIs3ljfnnRDMHJYa5tkHCfO9BoCw48QAvD_BwE,,https://www.instagram.com/p/B_sK8ZqgBfb/?utm_source=ig_embed&utm_campaign=loading,,,https://www.visithoustontexas.com/blog/post/supporting-black-owned-business-in-houston/,Visit Houston,Black-owned,https://www.visithoustontexas.com/blog/post/supporting-black-owned-business-in-houston/,false,Visit Houston article explicitly presents this as a Black-owned Houston business and provides the public address; official website and attributable social destination confirmed on source page.
