name,address,city,state,postal_code,country,category,subcategory,services_search_terms,description,website,phone,instagram_url,facebook_url,tiktok_url,source_url,source_name,ownership_designations,ownership_evidence_url,regulated_profession,notes
Avalon Flowers,520 SW 3rd Ave,Portland,OR,97204,USA,retail,florist,"flowers, florist, arrangements",Florist and flower services.,http://avalonflowerspdx.com,503-796-9250,,,,https://www.ohsu.edu/sites/default/files/2023-01/Black_Owned_Business_Directory.pdf,OHSU Black Owned Businesses Directory,Black-owned,https://www.ohsu.edu/sites/default/files/2023-01/Black_Owned_Business_Directory.pdf,false,Source basis: OHSU Black Owned Businesses Directory; current official website or explicitly attributable public social destination recorded and should be rechecked before publication. Identity designation is explicitly documented by the directory; not inferred.
Curt’s Ultimate Fitness  Fighting Arts,5257 NE Martin Luther King Jr Blvd,Portland,OR,97211,USA,recreation,fitness and martial arts,"fitness, boxing, fighting arts",Fitness and fighting-arts classes.,https://www.curtsultimate.com,503-819-9207,,,,https://www.ohsu.edu/sites/default/files/2023-01/Black_Owned_Business_Directory.pdf,OHSU Black Owned Businesses Directory,Black-owned,https://www.ohsu.edu/sites/default/files/2023-01/Black_Owned_Business_Directory.pdf,false,Source basis: OHSU Black Owned Businesses Directory; current official website or explicitly attributable public social destination recorded and should be rechecked before publication. Identity designation is explicitly documented by the directory; not inferred.
Champions Barbershop,5175 NE Martin Luther King Jr Blvd,Portland,OR,97212,USA,beauty,barber,"barber, haircut, shave, beard trim","Barbering, haircuts, shaves and beard trims.",https://www.championspdx.com,503-946-8175,,,,https://www.ohsu.edu/sites/default/files/2023-01/Black_Owned_Business_Directory.pdf,OHSU Black Owned Businesses Directory,Black-owned,https://www.ohsu.edu/sites/default/files/2023-01/Black_Owned_Business_Directory.pdf,false,Source basis: OHSU Black Owned Businesses Directory; current official website or explicitly attributable public social destination recorded and should be rechecked before publication. Identity designation is explicitly documented by the directory; not inferred.
Revelations Hair Design,5140 NE 42nd Ave,Portland,OR,97218,USA,beauty,hair salon,"hair design, salon, styling",Hair design and salon services.,https://square.site/book/795W3TPTAE1GM/revelations-hair-design-portland-or,,,,,https://www.ohsu.edu/sites/default/files/2023-01/Black_Owned_Business_Directory.pdf,OHSU Black Owned Businesses Directory,Black-owned,https://www.ohsu.edu/sites/default/files/2023-01/Black_Owned_Business_Directory.pdf,false,Source basis: OHSU Black Owned Businesses Directory; current official website or explicitly attributable public social destination recorded and should be rechecked before publication. Identity designation is explicitly documented by the directory; not inferred.
Deadstock Coffee,408 NW Couch,Portland,OR,97209,USA,food,coffee shop,"coffee, espresso, beverages",Coffee shop and coffee roaster.,http://www.deadstockcoffee.com,971-220-8727,,,,https://www.ohsu.edu/sites/default/files/2023-01/Black_Owned_Business_Directory.pdf,OHSU Black Owned Businesses Directory,Black-owned,https://www.ohsu.edu/sites/default/files/2023-01/Black_Owned_Business_Directory.pdf,false,Source basis: OHSU Black Owned Businesses Directory; current official website or explicitly attributable public social destination recorded and should be rechecked before publication. Identity designation is explicitly documented by the directory; not inferred.
Elevated Coffee & Spirits,5261 NE Martin Luther King Jr Blvd,Portland,OR,97211,USA,food,coffee and spirits,"coffee, spirits, beverages",Coffee and spirits.,,971-255-1296,https://www.instagram.com/elevatedcoffeepdx/,,,https://www.ohsu.edu/sites/default/files/2023-01/Black_Owned_Business_Directory.pdf,OHSU Black Owned Businesses Directory,Black-owned,https://www.ohsu.edu/sites/default/files/2023-01/Black_Owned_Business_Directory.pdf,false,Source basis: OHSU Black Owned Businesses Directory; current official website or explicitly attributable public social destination recorded and should be rechecked before publication. Identity designation is explicitly documented by the directory; not inferred.
Kiss Coffee,3016 NE Ainsworth St,Portland,OR,97211,USA,food,coffee shop,"coffee, espresso, beverages",Coffee shop.,http://kissccoffeepdx.business.site,,,,,https://www.ohsu.edu/sites/default/files/2023-01/Black_Owned_Business_Directory.pdf,OHSU Black Owned Businesses Directory,Black-owned,https://www.ohsu.edu/sites/default/files/2023-01/Black_Owned_Business_Directory.pdf,false,Source basis: OHSU Black Owned Businesses Directory; current official website or explicitly attributable public social destination recorded and should be rechecked before publication. Identity designation is explicitly documented by the directory; not inferred.
Fuel Café,1452 NE Alberta St,Portland,OR,97211,USA,food,cafe,"cafe, food, coffee",Cafe and food service.,,503-335-3835,,https://www.facebook.com/fuelPDX,,https://www.ohsu.edu/sites/default/files/2023-01/Black_Owned_Business_Directory.pdf,OHSU Black Owned Businesses Directory,Black-owned,https://www.ohsu.edu/sites/default/files/2023-01/Black_Owned_Business_Directory.pdf,false,Source basis: OHSU Black Owned Businesses Directory; current official website or explicitly attributable public social destination recorded and should be rechecked before publication. Identity designation is explicitly documented by the directory; not inferred.
Trap Kitchen,8403 NE Fremont St,Portland,OR,97220,USA,food,restaurant and food cart,"soul food, seafood, catering",Food cart and restaurant serving soul-food dishes.,http://trapkitchenpdx.com,503-442-0748,,,,https://www.ohsu.edu/sites/default/files/2023-01/Black_Owned_Business_Directory.pdf,OHSU Black Owned Businesses Directory,Black-owned,https://www.ohsu.edu/sites/default/files/2023-01/Black_Owned_Business_Directory.pdf,false,Source basis: OHSU Black Owned Businesses Directory; current official website or explicitly attributable public social destination recorded and should be rechecked before publication. Identity designation is explicitly documented by the directory; not inferred.
Jamaican Homestyle Cuisine,441 N Killingsworth St,Portland,OR,97217,USA,food,Jamaican restaurant,"Jamaican food, jerk, curry, stew",Jamaican restaurant.,https://www.jamaicanhomestylepdx.com,503-289-1423,,,,https://www.ohsu.edu/sites/default/files/2023-01/Black_Owned_Business_Directory.pdf,OHSU Black Owned Businesses Directory,Black-owned,https://www.ohsu.edu/sites/default/files/2023-01/Black_Owned_Business_Directory.pdf,false,Source basis: OHSU Black Owned Businesses Directory; current official website or explicitly attributable public social destination recorded and should be rechecked before publication. Identity designation is explicitly documented by the directory; not inferred.
