name,address,city,state_or_region,postal_code,country,category,subcategory,services_search_terms,description,website,phone,instagram_url,facebook_url,tiktok_url,source_url,source_name,ownership_designations,ownership_evidence_url,regulated_profession,location_type,languages,hours,price_range,address_enrichment_note,notes
Café Cuatro Sombras,"259 Calle San Francisco, Viejo San Juan",San Juan,Puerto Rico,00901,United States,food,coffee,coffee; espresso; pastries,Coffee shop and roastery in Old San Juan,https://cafecuatro-sombras.com/,,,,,https://cafecuatro-sombras.com/,Official website,,,false,physical,Spanish; English,,,,,Source basis: official business website/public profile with current San Juan street address; destination independently confirmed on the official site. Address-backed coordinates are added only by guarded staging geocoding.
Café Regina,"58 Calle Canals, Santurce",San Juan,Puerto Rico,00907,United States,food,coffee,coffee; breakfast; pastries,Neighborhood coffee shop,https://www.caferegina.com/,,,,,https://www.caferegina.com/,Official website,,,false,physical,Spanish; English,,,,,Source basis: official business website/public profile with current San Juan street address; destination independently confirmed on the official site. Address-backed coordinates are added only by guarded staging geocoding.
La Casita Blanca,"351 Calle Tapia, Villa Palmeras",San Juan,Puerto Rico,00912,United States,food,Puerto Rican restaurant,Puerto Rican food; lunch; dinner,Traditional Puerto Rican restaurant,https://www.lacasitablanca.com/,,,,,https://www.lacasitablanca.com/,Official website,,,false,physical,Spanish; English,,,,,Source basis: official business website/public profile with current San Juan street address; destination independently confirmed on the official site. Address-backed coordinates are added only by guarded staging geocoding.
Marmalade Restaurant & Wine Bar,317 Calle de la Fortaleza,San Juan,Puerto Rico,00901,United States,food,restaurant,tasting menu; wine; dinner,Restaurant and wine bar,https://www.marmaladepr.com/,,,,,https://www.marmaladepr.com/,Official website,,,false,physical,Spanish; English,,,,,Source basis: official business website/public profile with current San Juan street address; destination independently confirmed on the official site. Address-backed coordinates are added only by guarded staging geocoding.
1919 Restaurant,"1055 Ashford Avenue, Condado",San Juan,Puerto Rico,00907,United States,food,restaurant,fine dining; tasting menu; cocktails,Fine dining restaurant at Condado Vanderbilt,https://www.condadovanderbilt.com/dining/1919-restaurant/,,,,,https://www.condadovanderbilt.com/dining/1919-restaurant/,Official website,,,false,physical,Spanish; English,,,,,Source basis: official business website/public profile with current San Juan street address; destination independently confirmed on the official site. Address-backed coordinates are added only by guarded staging geocoding.
Santaella,"219 Calle Canals, Santurce",San Juan,Puerto Rico,00907,United States,food,restaurant,Puerto Rican cuisine; cocktails; dinner,Restaurant and cocktail bar,https://www.santaellapr.com/,,,,,https://www.santaellapr.com/,Official website,,,false,physical,Spanish; English,,,,,Source basis: official business website/public profile with current San Juan street address; destination independently confirmed on the official site. Address-backed coordinates are added only by guarded staging geocoding.
Cocina Abierta,"Calle Caribe 2, Condado",San Juan,Puerto Rico,00907,United States,food,restaurant,tasting menu; Caribbean food; dinner,Contemporary restaurant,https://www.cocinaabiertapr.com/,,,,,https://www.cocinaabiertapr.com/,Official website,,,false,physical,Spanish; English,,,,,Source basis: official business website/public profile with current San Juan street address; destination independently confirmed on the official site. Address-backed coordinates are added only by guarded staging geocoding.
Kasalta,"1966 Calle McLeary, Ocean Park",San Juan,Puerto Rico,00911,United States,food,bakery,bread; pastries; sandwiches; breakfast,Bakery and café,https://www.kasalta.com/,,,,,https://www.kasalta.com/,Official website,,,false,physical,Spanish; English,,,,,Source basis: official business website/public profile with current San Juan street address; destination independently confirmed on the official site. Address-backed coordinates are added only by guarded staging geocoding.
Pannes,"1 Avenida José de Diego, Puerto Nuevo",San Juan,Puerto Rico,00920,United States,food,restaurant,breakfast; lunch; Puerto Rican food,All-day restaurant,https://www.pannespr.com/,,,,,https://www.pannespr.com/,Official website,,,false,physical,Spanish; English,,,,,Source basis: official business website/public profile with current San Juan street address; destination independently confirmed on the official site. Address-backed coordinates are added only by guarded staging geocoding.
SuperMax,"Avenida José de Diego 130, San Juan",San Juan,Puerto Rico,00920,United States,food,grocery,groceries; produce; household goods,Supermarket serving San Juan,https://supermaxonline.com/,,,,,https://supermaxonline.com/,Official website,,,false,physical,Spanish; English,,,,,Source basis: official business website/public profile with current San Juan street address; destination independently confirmed on the official site. Address-backed coordinates are added only by guarded staging geocoding.
Freshmart,"110 Calle San Jorge, Santurce",San Juan,Puerto Rico,00912,United States,food,grocery,organic groceries; produce; prepared foods,Natural and specialty grocery store,https://freshmartpr.com/,,,,,https://freshmartpr.com/,Official website,,,false,physical,Spanish; English,,,,,Source basis: official business website/public profile with current San Juan street address; destination independently confirmed on the official site. Address-backed coordinates are added only by guarded staging geocoding.
